Name,Mg,V,Cr,Mn,Fe,Co,Ni,Cu,Zn,As,Cd,Pb206,Pb207,Pb208,hour,Sediment
SLRS-4,1720.717,0.3,0.274,3.583,100.97,0.034,0.623,1.824,1.077,0.699,0.043,0.019,0.03,0.021,,
1c1,6857.423,1.393,0.14,4.737,6.968,0.062,0.438,2.184,9.227,0.879,0.024,<0.000,<0.000,<0.000,1,control
1c2,7099.761,1.435,0.094,4.018,4.362,0.059,0.44,2.47,5.446,1.04,0.009,0.247,0.256,0.256,1,control
1c3,7166.971,1.439,0.129,4.776,3.649,0.06,0.765,3.074,5.303,1.019,0.005,<0.000,<0.000,<0.000,1,control
1c5,7438.542,1.555,0.074,5.312,3.665,0.088,0.652,2.777,4.336,0.86,0.003,<0.000,<0.000,<0.000,1,control
1c6,7449.41,1.274,0.069,4.282,4.628,0.074,0.439,2.475,4.154,0.847,<0.000,<0.000,<0.000,<0.000,1,control
1n1,8847.615,0.913,0,1720.842,4.185,0.269,0.523,0.943,8.704,1.273,<0.000,<0.000,<0.000,<0.000,1,natural
1n2,8715.938,0.618,0.001,1547.72,12.105,0.3,0.524,1.257,11.127,1.111,<0.000,<0.000,<0.000,<0.000,1,natural
1n3,9491.825,0.387,0.025,1952.83,11.714,0.364,0.607,1.27,2.334,1.217,0.008,<0.000,<0.000,<0.000,1,natural
1n4,8879.304,0.605,0,1650.972,6.548,0.278,0.499,0.999,2.657,1.208,<0.000,<0.000,<0.000,<0.000,1,natural
1n5,9393,0.647,<0.000,1926.346,7.476,0.313,0.521,1.532,1.865,1.211,<0.000,<0.000,<0.000,<0.000,1,natural
1n6,8322.44,0.977,<0.000,1276.518,13.157,0.207,0.787,1.117,2.045,0.847,<0.000,0.89,0.848,0.849,1,natural
1a1,8360.371,6.257,0.159,920.228,108.348,0.18,1.859,7.125,3.545,5.603,<0.000,0.057,0.067,0.059,1,autoclaved
1a2,8160.58,4.117,0.147,729.188,272.747,0.166,1.46,2.288,10.709,3.256,<0.000,<0.000,<0.000,<0.000,1,autoclaved
1a3,7728.025,2.023,0.631,367.479,131.906,0.147,0.987,2.161,15.444,1.13,<0.000,0.087,0.071,0.072,1,autoclaved
1a4,8620.918,3.956,0.102,876.605,130.531,0.233,1.247,2.136,2.201,2.402,<0.000,<0.000,<0.000,<0.000,1,autoclaved
1a5,8573.717,3.85,0.111,883.645,72.271,0.212,1.113,1.992,1.797,2.078,<0.000,<0.000,<0.000,<0.000,1,autoclaved
1a6,8879.442,5.88,0.238,1087.989,62.897,0.247,2.227,3.234,1.87,4.809,<0.000,<0.000,0.01,<0.000,1,autoclaved
100c1,7753.417,2.627,0.127,0.131,1.53,0.02,0.562,4.227,3.605,1.65,<0.000,<0.000,<0.000,<0.000,100,control
100c2,7752.761,2.439,0.109,0.425,1.8,0.023,0.477,3.49,2.709,1.663,<0.000,<0.000,<0.000,<0.000,100,control
100c3,7731.091,2.4,0.183,0.169,2.274,0.022,0.647,4.225,9.71,1.502,<0.000,<0.000,<0.000,<0.000,100,control
100c4,7662.136,2.35,0.155,0.969,3.251,0.069,0.524,5.336,3.309,1.398,<0.000,<0.000,<0.000,<0.000,100,control
100c5,7401.534,2.342,0.124,0.157,2.362,0.022,0.557,4.638,2.777,1.417,0.003,<0.000,<0.000,<0.000,100,control
