seed_id,seed_type,nat_col,viability,stain,col,count
1,stock,1,1,1,1,1
2,stock,1,1,1,1,1
3,stock,1,1,1,1,1
4,stock,1,1,1,1,1
5,stock,1,1,1,1,1
6,stock,1,1,1,1,1
7,stock,1,0,0.5,1,1
8,stock,1,0,0.5,1,1
9,stock,1,0,0.5,1,1
10,stock,1,0,0.5,1,1
11,stock,2,0,0,1,1
12,stock,2,1,1,1,1
13,stock,2,1,1,1,1
14,stock,2,1,1,1,1
15,stock,2,1,1,1,1
16,stock,2,1,1,1,1
17,stock,2,1,1,1,1
18,stock,2,1,1,1,1
19,stock,2,1,1,1,1
20,stock,2,1,1,1,1
21,stock,3,0,0.5,2,1
22,stock,3,0,0.5,2,1
23,stock,3,0,0.5,2,1
24,stock,3,0,0.5,2,1
25,stock,3,1,1,2,1
26,stock,3,1,1,2,1
27,stock,3,1,1,2,1
28,stock,3,1,1,2,1
29,stock,3,1,1,2,1
30,stock,3,1,1,2,1
31,stock,4,0,0,2,1
32,stock,4,0,0.5,2,1
33,stock,4,0,0.5,2,1
34,stock,4,0,0.5,2,1
35,stock,4,1,1,2,1
36,stock,4,1,1,2,1
37,stock,4,1,1,2,1
38,stock,4,1,1,2,1
39,stock,4,1,1,2,1
40,stock,4,1,1,2,1
41,stock,5,1,1,3,1
42,stock,5,1,1,3,1
43,stock,5,1,1,3,1
44,stock,5,1,1,3,1
45,stock,5,1,1,3,1
46,stock,5,1,1,3,1
47,stock,5,1,1,3,1
48,stock,5,1,1,3,1
49,stock,5,1,1,3,1
50,stock,5,0,0.5,3,1
51,stock,5,0,0.5,3,1
52,stock,5,0,0.5,3,1
53,stock,5,0,0.5,3,1
54,stock,6,1,1,3,1
55,stock,6,1,1,3,1
56,stock,6,0,0.5,3,1
57,stock,6,0,0.5,3,1
58,stock,6,0,0.5,3,1
59,stock,6,0,0.5,3,1
60,stock,6,0,0.5,3,1
61,stock,6,0,0.5,3,1
62,stock,6,0,0.5,3,1
63,stock,6,0,0.5,3,1
64,stock,6,0,0.5,3,1
65,cont1,1,0,0.5,1,1
66,cont1,1,0,0.5,1,1
67,cont1,1,0,0.5,1,1
68,cont1,1,0,0.5,1,1
69,cont1,1,1,1,1,1
70,cont1,1,1,1,1,1
71,cont1,1,1,1,1,1
72,cont1,1,1,1,1,1
73,cont1,1,1,1,1,1
74,cont1,1,1,1,1,1
75,cont1,2,0,0.5,1,1
