sediment,conc,chem
control,0.031,SRP
control,0.021,SRP
control,0.039,SRP
control,0.022,SRP
control,0.024,SRP
control,0.032,SRP
natural,0.003,SRP
natural,0.008,SRP
natural,0.009,SRP
natural,0.009,SRP
natural,0.011,SRP
natural,0.012,SRP
autoclaved,0.404,SRP
autoclaved,0.281,SRP
autoclaved,0.033,SRP
autoclaved,0.131,SRP
autoclaved,0.121,SRP
autoclaved,0.343,SRP
control,0.0364,TP
control,0.0302,TP
control,0.0482,TP
control,0.0322,TP
control,0.0255,TP
control,0.0349,TP
natural,0.0094,TP
natural,0.0075,TP
natural,0.0097,TP
natural,0.0156,TP
natural,0.0085,TP
natural,0.0178,TP
autoclaved,1.0617,TP
autoclaved,0.4892,TP
autoclaved,0.1428,TP
autoclaved,0.3311,TP
autoclaved,0.2998,TP
autoclaved,0.4882,TP
control,14.224,DIC
control,2.004,DIC
control,12.798,DIC
control,8.632,DIC
control,12.39,DIC
control,11.56,DIC
natural,7.856,DIC
natural,19.006,DIC
natural,17.772,DIC
natural,9.144,DIC
natural,8.266,DIC
natural,11.464,DIC
autoclaved,26.978,DIC
autoclaved,11.65,DIC
autoclaved,21.238,DIC
autoclaved,21.844,DIC
autoclaved,24.476,DIC
autoclaved,18.43,DIC
control,5.62,DOC
control,4.887,DOC
control,5.569,DOC
control,5.356,DOC
control,4.979,DOC
natural,4.596,DOC
natural,4.774,DOC
natural,4.577,DOC
natural,4.361,DOC
natural,4.566,DOC
natural,4.31,DOC
autoclaved,18.42,DOC
autoclaved,14.73,DOC
autoclaved,15.43,DOC
autoclaved,16.79,DOC
autoclaved,15.69,DOC
autoclaved,23.3,DOC
control,1.229,DN
control,1.216,DN
control,1.237,DN
control,1.334,DN
control,1.305,DN
natural,0.8909,DN
natural,0.8915,DN
natural,0.8034,DN
natural,0.8808,DN
natural,0.8489,DN
natural,0.8782,DN
autoclaved,4.544,DN
autoclaved,3.95,DN
autoclaved,3.865,DN
autoclaved,4.248,DN
autoclaved,4.001,DN
autoclaved,5.209,DN
control,8.58,DO
control,8.68,DO
control,8.8,DO
control,8.63,DO
control,9.09,DO
control,8.71,DO
natural,7.51,DO
natural,7.06,DO
natural,6.8,DO
natural,6.68,DO
natural,6.74,DO
natural,6.72,DO
autoclaved,0.89,DO
autoclaved,1.97,DO
autoclaved,3.24,DO
autoclaved,3.53,DO
autoclaved,3.06,DO
autoclaved,3.57,DO
control,39.64516129,Nprat
control,57.9047619,Nprat
control,31.71794872,Nprat
control,60.63636364,Nprat
control,54.375,Nprat
natural,296.9666667,Nprat
natural,111.4375,Nprat
natural,89.26666667,Nprat
natural,97.86666667,Nprat
natural,77.17272727,Nprat
natural,73.18333333,Nprat
autoclaved,11.24752475,Nprat
autoclaved,14.0569395,Nprat
autoclaved,117.1212121,Nprat
autoclaved,32.42748092,Nprat
autoclaved,33.0661157,Nprat
autoclaved,15.18658892,Nprat
