seed_type,nat_col,total,unviable,no _stain,semi_stain,full_stain,%full
 autoclave,1,10,,1,3,6,60
 autoclave,2,10,,,4,6,60
 autoclave,3,10,,,3,7,70
 autoclave,4,10,,,2,8,80
 autoclave,5,10,1,,2,7,77.77777778
 autoclave,6,10,,,4,6,60
 stock,1,10,,,4,6,60
 stock,2,10,1,,,9,100
 stock,3,10,,,4,6,60
 stock,4,10,1,,3,6,66.66666667
 stock,5,13,,,4,9,69.23076923
 stock,6,11,,,9,2,18.18181818
cont1,1,10,,,4,6,60
cont1,2,10,1,,4,5,55.55555556
cont1,3,10,,,5,5,50
cont1,4,10,,,7,3,30
cont1,5,10,,,2,8,80
cont1,6,10,,,4,6,60
