seed_id,week,seed_no,colour,sediment,germination,root,shoot,leaf,leaf_no,germ_week
1,12,1,yellow,autoclaved,1,15,27.5,25.5,4,5
2,12,2,yellow,autoclaved,1,3,18,17.5,3,5
3,12,3,yellow,autoclaved,1,4,20.5,21,4,5
4,12,4,yellow,autoclaved,1,8,13.5,37,4,5
5,12,5,yellow,autoclaved,1,0,24,20.5,4,5
6,12,6,yellow,autoclaved,1,2.5,23,21.5,4,5
7,12,7,yellow,autoclaved,0,,,,,0
8,12,8,yellow,autoclaved,1,2.5,15,22,4,5
9,12,9,yellow,autoclaved,0,,,,,0
10,12,10,yellow,autoclaved,1,27.5,16.5,37.6,7,5
11,12,11,yellow,autoclaved,1,2,12,16,3,6
12,12,12,yellow,autoclaved,1,3.5,15.5,15,3,5
13,12,13,yellow,autoclaved,0,,,,,0
14,12,14,yellow,autoclaved,1,1,16,23.5,4,5
15,12,15,yellow,autoclaved,0,,,,,0
16,12,16,yellow,autoclaved,0,,,,,0
17,12,1,yellow,natural,0,,,,,0
18,12,2,yellow,natural,0,,,,,0
19,12,3,yellow,natural,1,8.5,5,15,7,5
20,12,4,yellow,natural,1,27.5,10,27.5,10,5
21,12,5,yellow,natural,0,,,,,0
22,12,6,yellow,natural,1,40,8,29,7,5
23,12,7,yellow,natural,0,,,,,0
24,12,8,yellow,natural,1,27,10,27,4,6
25,12,9,yellow,natural,1,14,7.5,23,4,5
26,12,10,yellow,natural,1,32,9.5,31,8,5
27,12,11,yellow,natural,0,,,,,0
28,12,12,yellow,natural,0,,,,,0
29,12,13,yellow,natural,0,,,,,0
30,12,14,yellow,natural,0,,,,,0
31,12,15,yellow,natural,0,,,,,0
32,12,16,yellow,natural,0,,,,,0
33,12,1,yellow,control,0,,,,,0
34,12,2,yellow,control,0,,,,,0
35,12,3,yellow,control,0,,,,,0
36,12,4,yellow,control,0,,,,,0
37,12,5,yellow,control,0,,,,,0
38,12,6,yellow,control,0,,,,,0
39,12,7,yellow,control,0,,,,,0
40,12,8,yellow,control,0,,,,,0
41,12,9,yellow,control,0,,,,,0
42,12,10,yellow,control,0,,,,,0
43,12,11,yellow,control,1,40.5,3.5,17,4,5
44,12,12,yellow,control,1,0,4,0,0,6
45,12,13,yellow,control,0,,,,,0
46,12,14,yellow,control,0,,,,,0
47,12,15,yellow,control,0,,,,,0
48,12,16,yellow,control,0,,,,,0
49,12,1,brown,autoclaved,1,0.5,22,10,3,5
50,12,2,brown,autoclaved,1,4.5,13,13,1,5
51,12,3,brown,autoclaved,1,3.5,13.5,10.5,3,5
52,12,4,brown,autoclaved,1,2,26.5,9,2,5
53,12,5,brown,autoclaved,0,,,,,0
54,12,6,brown,autoclaved,0,,,,,0
55,12,7,brown,autoclaved,1,4,9,23,3,7
56,12,8,brown,autoclaved,0,,,,,0
57,12,9,brown,autoclaved,0,,,,,0
58,12,10,brown,autoclaved,1,1,9.5,0,0,7
59,12,11,brown,autoclaved,1,2,17.5,12.5,2,5
60,12,12,brown,autoclaved,1,3,18.5,21.5,4,5
61,12,13,brown,autoclaved,0,,,,,0
62,12,14,brown,autoclaved,0,,,,,0
63,12,15,brown,autoclaved,0,,,,,0
64,12,16,brown,autoclaved,1,2,24.5,17.5,4,5
65,12,1,brown,natural,1,0,13,20,3,5
66,12,2,brown,natural,0,,,,,0
67,12,3,brown,natural,0,,,,,0
68,12,4,brown,natural,0,,,,,0
69,12,5,brown,natural,0,,,,,0
70,12,6,brown,natural,1,16.5,6.5,16,4,5
71,12,7,brown,natural,0,,,,,0
72,12,8,brown,natural,0,,,,,0
73,12,9,brown,natural,0,,,,,0
74,12,10,brown,natural,0,,,,,0
75,12,11,brown,natural,0,,,,,0
76,12,12,brown,natural,1,33.5,10,30,9,5
77,12,13,brown,natural,1,14,9,23.5,4,7
78,12,14,brown,natural,0,,,,,0
79,12,15,brown,natural,0,,,,,0
80,12,16,brown,natural,0,,,,,0
81,12,1,brown,control,0,,,,,0
82,12,2,brown,control,0,,,,,0
